15:07:38.177 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:07:38.244 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:07:38.308 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:07:38.373 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:07:38.443 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:07:38.512 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:07:38.586 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:07:39.816 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:07:59.469 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:12:01.714 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:12:01.769 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:12:01.784 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:12:02.500 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:12:05.650 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:12:05.757 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:12:05.868 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:12:05.983 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:12:06.078 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:12:06.176 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:12:06.291 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:12:06.392 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:12:06.473 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:12:06.558 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:12:06.643 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:12:07.949 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:12:27.637 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:12:57.625 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:12:57.680 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:12:57.690 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:12:58.280 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:13:01.406 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:13:01.487 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:13:01.555 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:13:01.627 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:13:01.681 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:13:01.740 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:13:01.806 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:13:01.869 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:13:01.931 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:13:02.009 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:13:02.117 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:13:03.641 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:13:23.294 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:14:03.228 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:14:03.262 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:14:03.277 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:14:03.995 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:14:07.107 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:14:07.207 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:14:07.287 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:14:07.374 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:14:07.448 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:14:07.529 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:14:07.613 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:14:07.697 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:14:07.780 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:14:07.870 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:14:07.957 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:14:09.203 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:14:28.892 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:17:33.464 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:17:33.527 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:17:33.534 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:17:34.194 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:17:37.331 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:17:37.441 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:17:37.552 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:17:37.664 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:17:37.758 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:17:37.868 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:17:37.980 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:17:38.112 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:17:38.196 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:17:38.283 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:17:38.366 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:17:39.321 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:18:00.068 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:19:45.519 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:19:45.563 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:19:45.585 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:19:46.359 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:19:49.497 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:19:49.601 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:19:49.712 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:19:49.828 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:19:49.908 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:19:49.991 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:19:50.079 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:19:50.160 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:19:50.244 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:19:50.331 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:19:50.415 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:19:50.979 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:20:02.170 [main] INFO  TestCases.TC_001_Registration - ***Clicked on New Account***
15:20:07.721 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
15:20:29.878 [main] INFO  TestCases.TC_001_Registration - ****Launched the Application*****
15:20:29.934 [main] INFO  TestCases.TC_001_Registration - ****Maximized the browser*****
15:20:29.940 [main] INFO  TestCases.TC_001_Registration - ****Waiting for elements to load*****
15:20:30.496 [main] INFO  TestCases.TC_001_Registration - *****Clicked on Registration*****
15:20:33.615 [main] INFO  TestCases.TC_001_Registration - *****Firstname entered*****
15:20:33.702 [main] INFO  TestCases.TC_001_Registration - *****Lastname Entered*****
15:20:33.786 [main] INFO  TestCases.TC_001_Registration - *****Address Entered*****
15:20:33.887 [main] INFO  TestCases.TC_001_Registration - *****City Entered*****
15:20:33.957 [main] INFO  TestCases.TC_001_Registration - *****State Entered*****
15:20:34.049 [main] INFO  TestCases.TC_001_Registration - *****Zipcode Entered*****
15:20:34.140 [main] INFO  TestCases.TC_001_Registration - *****Phonenumber Entered*****
15:20:34.224 [main] INFO  TestCases.TC_001_Registration - *****SSN Entered*****
15:20:34.310 [main] INFO  TestCases.TC_001_Registration - *****Username Entered*****
15:20:34.399 [main] INFO  TestCases.TC_001_Registration - *****Password Entered*****
15:20:34.480 [main] INFO  TestCases.TC_001_Registration - *****Confirm Password Entered*****
15:20:35.257 [main] INFO  TestCases.TC_001_Registration - *****Account Created*****
15:20:55.929 [main] INFO  TestCases.TC_001_Registration - ****Closed browser*****
